"","pathway"
"2295","C2CP - Reactome Zbp1 Dai Mediated Induction of Type I Ifns"
"2296","C2CP - Reactome Zinc Efflux and Compartmentalization by the Slc30 Family"
"2297","C2CP - Reactome Zinc Influx Into Cells by the Slc39 Gene Family"
"2298","C2CP - Reactome Zinc Transporters"
"2299","C2CP - Sa B Cell Receptor Complexes"
"2300","C2CP - Sa Caspase Cascade"
"2301","C2CP - Sa Fas Signaling"
"2302","C2CP - Sa G1 and S Phases"
"2303","C2CP - Sa G2 and M Phases"
"2304","C2CP - Sa MMP Cytokine Connection"
"2305","C2CP - Sa Programmed Cell Death"
"2306","C2CP - Sa PTEN Pathway"
"2307","C2CP - Sa Reg Cascade of Cyclin Expr"
"2308","C2CP - Sa TRKA Receptor"
"2309","C2CP - Sig BCR Signaling Pathway"
"2310","C2CP - Sig CD40pathwaymap"
"2311","C2CP - Sig Chemotaxis"
"2312","C2CP - Sig IL4receptor in B Lyphocytes"
"2313","C2CP - Sig Insulin Receptor Pathway in Cardiac Myocytes"
"2314","C2CP - Sig PIP3 Signaling in B Lymphocytes"
"2315","C2CP - Sig PIP3 Signaling in Cardiac Myoctes"
"2316","C2CP - Sig Regulation of the Actin Cytoskeleton by Rho Gtpases"
"2317","C2CP - Wnt Signaling"
"2318","C2CP - Wp 15q112 Copy Number Variation Syndrome"
"2319","C2CP - Wp 15q133 Copy Number Variation Syndrome"
"2320","C2CP - Wp 16p112 Distal Deletion Syndrome"
"2321","C2CP - Wp 16p112 Proximal Deletion Syndrome"
"2322","C2CP - Wp 1q211 Copy Number Variation Syndrome"
"2323","C2CP - Wp 22q112 Copy Number Variation Syndrome"
"2324","C2CP - Wp 3q29 Copy Number Variation Syndrome"
"2325","C2CP - Wp 4hydroxytamoxifen Dexamethasone and Retinoic Acids Regulation of P27 Expression"
"2326","C2CP - Wp 7oxoc and 7betahc Pathways"
"2327","C2CP - Wp 7q1123 Copy Number Variation Syndrome"
"2328","C2CP - Wp Ace Inhibitor Pathway"
"2329","C2CP - Wp Acetylcholine Synthesis"
"2330","C2CP - Wp Acquired Partial Lipodystrophy Barraquersimons Syndrome"
"2331","C2CP - Wp Activation of Nlrp3 Inflammasome by Sarscov2"
"2332","C2CP - Wp Acute Viral Myocarditis"
"2333","C2CP - Wp Adipogenesis"
"2334","C2CP - Wp Aerobic Glycolysis"
"2335","C2CP - Wp Aflatoxin B1 Metabolism"
"2336","C2CP - Wp Agerage Pathway"
"2337","C2CP - Wp Airway Smooth Muscle Cell Contraction"
"2338","C2CP - Wp Alanine and Aspartate Metabolism"
"2339","C2CP - Wp Allograft Rejection"
"2340","C2CP - Wp Alpha 6 Beta 4 Signaling Pathway"
"2341","C2CP - Wp Altered Glycosylation of Muc1 in Tumor Microenvironment"
"2342","C2CP - Wp AlteRNAtive Pathway of Fetal Androgen Synthesis"
"2343","C2CP - Wp Alzheimers Disease"
"2344","C2CP - Wp Alzheimers Disease and MiRNA Effects"
"2345","C2CP - Wp Amino Acid Metabolism"
"2346","C2CP - Wp Amino Acid Metabolism Pathway Excerpt Histidine Catabolism Extension"
"2347","C2CP - Wp Ampactivated Protein Kinase Ampk Signaling"
"2348","C2CP - Wp Amplification and Expansion of Oncogenic Pathways As Metastatic Traits"
"2349","C2CP - Wp Amyotrophic Lateral Sclerosis Als"
"2350","C2CP - Wp Androgen Receptor Signaling Pathway"
"2351","C2CP - Wp Angiogenesis"
"2352","C2CP - Wp Angiopoietinlike Protein 8 Regulatory Pathway"
"2353","C2CP - Wp Angiotensin II Receptor Type 1 Pathway"
"2354","C2CP - Wp Antiviral and Antiinflammatory Effects of Nrf2 on Sarscov2 Pathway"
"2355","C2CP - Wp Apoe and Mir146 in Inflammation and Atherosclerosis"
"2356","C2CP - Wp Apoptosis"
"2357","C2CP - Wp Apoptosis Modulation and Signaling"
"2358","C2CP - Wp Apoptosis Modulation by Hsp70"
"2359","C2CP - Wp Apoptosisrelated Network Due to Altered Notch3 in Ovarian Cancer"
"2360","C2CP - Wp Arachidonate Epoxygenase Epoxide Hydrolase"
"2361","C2CP - Wp Arrhythmogenic Right Ventricular Cardiomyopathy"
"2362","C2CP - Wp Aryl Hydrocarbon Receptor Pathway Wp2586"
"2363","C2CP - Wp Aryl Hydrocarbon Receptor Pathway Wp2873"
"2364","C2CP - Wp Arylamine Metabolism"
"2365","C2CP - Wp Aspirin and MiRNAs"
"2366","C2CP - Wp Atm Signaling in Development and Disease"
"2367","C2CP - Wp Atm Signaling Pathway"
"2368","C2CP - Wp Atr Signaling"
"2369","C2CP - Wp Autophagy"
"2370","C2CP - Wp Autosomal Recessive Osteopetrosis Pathways"
"2371","C2CP - Wp B Cell Receptor Signaling Pathway"
"2372","C2CP - Wp Base Excision Repair"
"2373","C2CP - Wp Bdnftrkb Signaling"
"2374","C2CP - Wp Benzene Metabolism"
"2375","C2CP - Wp Benzoapyrene Metabolism"
"2376","C2CP - Wp Bile Acids Synthesis and Enterohepatic Circulation"
"2377","C2CP - Wp Biogenic Amine Synthesis"
"2378","C2CP - Wp Biomarkers for Pyrimidine Metabolism Disorders"
"2379","C2CP - Wp Biomarkers for Urea Cycle Disorders"
"2380","C2CP - Wp Biotin Metabolism Including Iems"
"2381","C2CP - Wp Bladder Cancer"
"2382","C2CP - Wp Blood Clotting Cascade"
"2383","C2CP - Wp Bmp Signaling in Eyelid Development"
"2384","C2CP - Wp Bmp2wnt4foxo1 Pathway in Primary Endometrial Stromal Cell Differentiation"
"2385","C2CP - Wp Bone Morphogenic Protein Bmp Signaling and Regulation"
"2386","C2CP - Wp Brainderived Neurotrophic Factor Bdnf Signaling Pathway"
"2387","C2CP - Wp Breast Cancer Pathway"
"2388","C2CP - Wp Burn Wound Healing"
"2389","C2CP - Wp Calcium Regulation in Cardiac Cells"
"2390","C2CP - Wp Caloric Restriction and Aging"
"2391","C2CP - Wp Camkk2 Pathway"
"2392","C2CP - Wp Cancer Immunotherapy by Ctla4 Blockade"
"2393","C2CP - Wp Cancer Immunotherapy by Pd1 Blockade"
"2394","C2CP - Wp Cannabinoid Receptor Signaling"
"2395","C2CP - Wp Canonical and Noncanonical Notch Signaling"
"2396","C2CP - Wp Canonical and Noncanonical TGFb Signaling"
"2397","C2CP - Wp Canonical NFkB Pathway"
"2398","C2CP - Wp Cardiac Hypertrophic Response"
"2399","C2CP - Wp Cardiac Progenitor Differentiation"
"2400","C2CP - Wp Catalytic Cycle of Mammalian Flavincontaining Monooxygenases Fmos"
"2401","C2CP - Wp Ccl18 Signaling Pathway"
"2402","C2CP - Wp Cell Cycle"
"2403","C2CP - Wp Cell Differentiation Expanded Index"
"2404","C2CP - Wp Cell Differentiation Index"
"2405","C2CP - Wp Cell Migration and Invasion through P75ntr"
"2406","C2CP - Wp Cells and Molecules Involved in Local Acute Inflammatory Response"
"2407","C2CP - Wp Celltype Dependent Selectivity of Cck2r Signaling"
"2408","C2CP - Wp Cellular Proteostasis"
"2409","C2CP - Wp Cerebral Organic Acidurias Including Diseases"
"2410","C2CP - Wp Chemokine Signaling Pathway"
"2411","C2CP - Wp Cholesterol Biosynthesis Pathway"
"2412","C2CP - Wp Cholesterol Biosynthesis with Skeletal Dysplasias"
"2413","C2CP - Wp Cholesterol Metabolism with Bloch and Kandutschrussell Pathways"
"2414","C2CP - Wp Chromosomal and Microsatellite Instability in Colorectal Cancer"
"2415","C2CP - Wp Ciliary Landscape"
"2416","C2CP - Wp Ciliopathies"
"2417","C2CP - Wp Circadian Rhythm Genes"
"2418","C2CP - Wp Classical Pathway of Steroidogenesis with Glucocorticoid and Mineralocorticoid Metabolism"
"2419","C2CP - Wp Clear Cell Renal Cell Carcinoma Pathways"
"2420","C2CP - Wp Codeine and Morphine Metabolism"
"2421","C2CP - Wp Cohesin Complex Cornelia De Lange Syndrome"
"2422","C2CP - Wp Common Pathways Underlying Drug Addiction"
"2423","C2CP - Wp Complement Activation"
"2424","C2CP - Wp Complement and Coagulation Cascades"
"2425","C2CP - Wp Complement System"
"2426","C2CP - Wp Complement System in Neuronal Development and Plasticity"
"2427","C2CP - Wp Congenital Generalized Lipodystrophy Cgl"
"2428","C2CP - Wp Constitutive Androstane Receptor Pathway"
"2429","C2CP - Wp Control of Immune Tolerance by Vasoactive Intestinal Peptide"
"2430","C2CP - Wp Copper Homeostasis"
"2431","C2CP - Wp Cori Cycle"
"2432","C2CP - Wp Corticotropinreleasing Hormone Signaling Pathway"
"2433","C2CP - Wp Covid19 Adverse Outcome Pathway"
"2434","C2CP - Wp Covid19 Thrombosis and Anticoagulation"
"2435","C2CP - Wp Cysteine and Methionine Catabolism"
"2436","C2CP - Wp Cytokines and Inflammatory Response"
"2437","C2CP - Wp Cytoplasmic Ribosomal Proteins"
"2438","C2CP - Wp Cytosine Methylation"
"2439","C2CP - Wp Cytosolic DNAsensing Pathway"
"2440","C2CP - Wp Ddx1 As A Regulatory Component of the Drosha Microprocessor"
"2441","C2CP - Wp Degradation Pathway of Sphingolipids Including Diseases"
"2442","C2CP - Wp Deregulation of Rab and Rab Effector Genes in Bladder Cancer"
"2443","C2CP - Wp Development and Heterogeneity of the Ilc Family"
"2444","C2CP - Wp Development of Pulmonary Dendritic Cells and Macrophage Subsets"
"2445","C2CP - Wp Development of Ureteric Collection System"
"2446","C2CP - Wp Differentiation of White and Brown Adipocyte"
"2447","C2CP - Wp Disorders of Folate Metabolism and Transport"
"2448","C2CP - Wp Disruption of Postsynaptic Signaling by Cnv"
"2449","C2CP - Wp DNA Damage Response"
"2450","C2CP - Wp DNA Damage Response Only Atm Dependent"
"2451","C2CP - Wp DNA Irdamage and Cellular Response via Atr"
"2452","C2CP - Wp DNA Irdouble Strand Breaks and Cellular Response via Atm"
"2453","C2CP - Wp DNA Mismatch Repair"
"2454","C2CP - Wp DNA Repair Pathways Full Network"
"2455","C2CP - Wp DNA Replication"
"2456","C2CP - Wp Dopamine Metabolism"
"2457","C2CP - Wp Dopaminergic Neurogenesis"
"2458","C2CP - Wp Drug Induction of Bile Acid Pathway"
"2459","C2CP - Wp Dual Hijack Model of Vif in Hiv Infection"
"2460","C2CP - Wp Ebola Virus Infection in Host"
"2461","C2CP - Wp Ebsteinbarr Virus Lmp1 Signaling"
"2462","C2CP - Wp Ectoderm Differentiation"
"2463","C2CP - Wp Eda Signaling in Hair Follicle Development"
"2464","C2CP - Wp Effect of Progerin on Genes Involved in Hutchinsongilford Progeria Syndrome"
"2465","C2CP - Wp Effects of Nitric Oxide"
"2466","C2CP - Wp Egfegfr Signaling Pathway"
"2467","C2CP - Wp Egfr Tyrosine Kinase Inhibitor Resistance"
"2468","C2CP - Wp Eicosanoid Metabolism via Cyclooxygenases Cox"
"2469","C2CP - Wp Eicosanoid Metabolism via Cytochrome P450 Monooxygenases Pathway"
"2470","C2CP - Wp Eicosanoid Metabolism via Lipooxygenases Lox"
"2471","C2CP - Wp Eicosanoid Synthesis"
"2472","C2CP - Wp Electron Transport Chain Oxphos System in Mitochondria"
"2473","C2CP - Wp Embryonic Stem Cell Pluripotency Pathways"
"2474","C2CP - Wp Endochondral Ossification"
"2475","C2CP - Wp Endochondral Ossification with Skeletal Dysplasias"
"2476","C2CP - Wp Endoderm Differentiation"
"2477","C2CP - Wp Endometrial Cancer"
"2478","C2CP - Wp Endoplasmic Reticulum Stress Response in Coronavirus Infection"
"2479","C2CP - Wp Endothelin Pathways"
"2480","C2CP - Wp Energy Metabolism"
"2481","C2CP - Wp Envelope Proteins and Their Potential Roles in Edmd Physiopathology"
"2482","C2CP - Wp Epithelial to Mesenchymal Transition in Colorectal Cancer"
"2483","C2CP - Wp Epo Receptor Signaling"
"2484","C2CP - Wp Erbb Signaling Pathway"
"2485","C2CP - Wp Erk Pathway in Huntingtons Disease"
"2486","C2CP - Wp Estrogen Metabolism"
"2487","C2CP - Wp Estrogen Receptor Pathway"
"2488","C2CP - Wp Estrogen Signaling Pathway"
"2489","C2CP - Wp Ethanol Effects on Histone Modifications"
"2490","C2CP - Wp Ethanol Metabolism Production of Ros by Cyp2e1"
"2491","C2CP - Wp Eukaryotic Transcription Initiation"
"2492","C2CP - Wp Ev Release from Cardiac Cells and Their Functional Effects"
"2493","C2CP - Wp Exerciseinduced Circadian Regulation"
"2494","C2CP - Wp ExRNA Mechanism of Action and Biogenesis"
"2495","C2CP - Wp Extracellular Vesiclemediated Signaling in Recipient Cells"
"2496","C2CP - Wp Extracellular Vesicles in the Crosstalk of Cardiac Cells"
"2497","C2CP - Wp Factors and Pathways Affecting Insulinlike Growth Factor Igf1akt Signaling"
"2498","C2CP - Wp Familial Hyperlipidemia Type 1"
"2499","C2CP - Wp Familial Hyperlipidemia Type 2"
"2500","C2CP - Wp Familial Hyperlipidemia Type 3"
"2501","C2CP - Wp Familial Hyperlipidemia Type 4"
"2502","C2CP - Wp Familial Hyperlipidemia Type 5"
"2503","C2CP - Wp Familial Partial Lipodystrophy Fpld"
"2504","C2CP - Wp Farnesoid X Receptor Pathway"
"2505","C2CP - Wp Fas Ligand Pathway and Stress Induction of Heat Shock Proteins"
"2506","C2CP - Wp Fatty Acid Betaoxidation"
"2507","C2CP - Wp Fatty Acid Biosynthesis"
"2508","C2CP - Wp Fatty Acid Omegaoxidation"
"2509","C2CP - Wp Fatty Acid Transporters"
"2510","C2CP - Wp Fbxl10 Enhancement of Maperk Signaling in Diffuse Large Bcell Lymphoma"
"2511","C2CP - Wp Ferroptosis"
"2512","C2CP - Wp Fgf23 Signaling in Hypophosphatemic Rickets and Related Disorders"
"2513","C2CP - Wp FGFR3 Signaling in Chondrocyte Proliferation and Terminal Differentiation"
"2514","C2CP - Wp Fibrin Complement Receptor 3 Signaling Pathway"
"2515","C2CP - Wp Fluoroacetic Acid Toxicity"
"2516","C2CP - Wp Fluoropyrimidine Activity"
"2517","C2CP - Wp Focal Adhesion"
"2518","C2CP - Wp Focal Adhesion PI3Kaktmtorsignaling Pathway"
"2519","C2CP - Wp Folate Metabolism"
"2520","C2CP - Wp Folatealcohol and Cancer Pathway Hypotheses"
"2521","C2CP - Wp Follicle Stimulating Hormone Fsh Signaling Pathway"
"2522","C2CP - Wp Foxa2 Pathway"
"2523","C2CP - Wp Foxp3 in Covid19"
"2524","C2CP - Wp Fragile X Syndrome"
"2525","C2CP - Wp Fto Obesity Variant Mechanism"
"2526","C2CP - Wp G Protein Signaling Pathways"
"2527","C2CP - Wp G1 to S Cell Cycle Control"
"2528","C2CP - Wp G13 Signaling Pathway"
"2529","C2CP - Wp Gaba Metabolism Aka Ghb"
"2530","C2CP - Wp Gaba Receptor Signaling"
"2531","C2CP - Wp Galanin Receptor Pathway"
"2532","C2CP - Wp Gammaglutamyl Cycle for the Biosynthesis and Degradation of Glutathione Including Diseases"
"2533","C2CP - Wp Ganglio Sphingolipid Metabolism"
"2534","C2CP - Wp Gastric Acid Production"
"2535","C2CP - Wp Gastric Cancer Network 1"
"2536","C2CP - Wp Gastric Cancer Network 2"
"2537","C2CP - Wp Gastrin Signaling Pathway"
"2538","C2CP - Wp Gdnfret Signaling Axis"
"2539","C2CP - Wp Gene Regulatory Network Modelling Somitogenesis"
"2540","C2CP - Wp Genes Associated with the Development of Rheumatoid Arthritis"
"2541","C2CP - Wp Genes Controlling Nephrogenesis"
"2542","C2CP - Wp Genes Related to Primary Cilium Development Based on Crispr"
"2543","C2CP - Wp Genes Targeted by MiRNAs in Adipocytes"
"2544","C2CP - Wp Glial Cell Differentiation"
"2545","C2CP - Wp Glioblastoma Signaling Pathways"
"2546","C2CP - Wp Glucocorticoid Receptor Pathway"
"2547","C2CP - Wp Glucuronidation"
"2548","C2CP - Wp Glutathione Metabolism"
"2549","C2CP - Wp Glycerolipids and Glycerophospholipids"
"2550","C2CP - Wp Glycerophospholipid Biosynthetic Pathway"
"2551","C2CP - Wp Glycogen Synthesis and Degradation"
"2552","C2CP - Wp Glycolysis and Gluconeogenesis"
"2553","C2CP - Wp Glycolysis in Senescence"
"2554","C2CP - Wp Glycosaminoglycan Degradation"
"2555","C2CP - Wp Glycosylation and Related Congenital Defects"
"2556","C2CP - Wp Gpcrs Class A Rhodopsinlike"
"2557","C2CP - Wp Gpcrs Class B Secretinlike"
"2558","C2CP - Wp Gpcrs Class C Metabotropic Glutamate Pheromone"
"2559","C2CP - Wp Gpcrs Other"
"2560","C2CP - Wp Gpr143 in Melanocytes and Retinal Pigment Epithelium Cells"
"2561","C2CP - Wp Gpr40 Pathway"
"2562","C2CP - Wp H19 Action Rbe2f1 Signaling and Cdkbetacatenin Activity"
"2563","C2CP - Wp Hair Follicle Development Cytodifferentiation Part 3 of 3"
"2564","C2CP - Wp Hair Follicle Development Organogenesis Part 2 of 3"
"2565","C2CP - Wp Head and Neck Squamous Cell Carcinoma"
"2566","C2CP - Wp Heart Development"
"2567","C2CP - Wp Hedgehog Signaling Pathway Wp4249"
"2568","C2CP - Wp Hedgehog Signaling Pathway Wp47"
"2569","C2CP - Wp Hematopoietic Stem Cell Differentiation"
"2570","C2CP - Wp Hematopoietic Stem Cell Gene Regulation by Gabp Alphabeta Complex"
"2571","C2CP - Wp Heme Biosynthesis"
"2572","C2CP - Wp Hepatitis B Infection"
"2573","C2CP - Wp Hepatitis C and Hepatocellular Carcinoma"
"2574","C2CP - Wp Hepatocyte Growth Factor Receptor Signaling"
"2575","C2CP - Wp Hereditary Leiomyomatosis and Renal Cell Carcinoma Pathway"
"2576","C2CP - Wp Hfe Effect on Hepcidin Production"
"2577","C2CP - Wp Hif1a and Pparg Regulation of Glycolysis"
"2578","C2CP - Wp Hijack of Ubiquitination by Sarscov2"
"2579","C2CP - Wp Hippo Signaling Regulation Pathways"
"2580","C2CP - Wp Hippomerlin Signaling Dysregulation"
"2581","C2CP - Wp Hippoyap Signaling Pathway"
"2582","C2CP - Wp Histone Modifications"
"2583","C2CP - Wp Homologous Recombination"
"2584","C2CP - Wp Hostpathogen Interaction of Human Coronaviruses Apoptosis"
"2585","C2CP - Wp Hostpathogen Interaction of Human Coronaviruses Autophagy"
"2586","C2CP - Wp Hostpathogen Interaction of Human Coronaviruses Interferon Induction"
"2587","C2CP - Wp Hostpathogen Interaction of Human Coronaviruses MAPK Signaling"
"2588","C2CP - Wp Hypertrophy Model"
"2589","C2CP - Wp Hypothesized Pathways in Pathogenesis of Cardiovascular Disease"
"2590","C2CP - Wp Hypothetical Craniofacial Development Pathway"
"2591","C2CP - Wp Id Signaling Pathway"
"2592","C2CP - Wp IL1 and Megakaryocytes in Obesity"
"2593","C2CP - Wp IL1 Signaling Pathway"
"2594","C2CP - Wp IL10 Antiinflammatory Signaling Pathway"
"2595","C2CP - Wp IL17 Signaling Pathway"
"2596","C2CP - Wp IL18 Signaling Pathway"
"2597","C2CP - Wp IL2 Signaling Pathway"
"2598","C2CP - Wp IL3 Signaling Pathway"
"2599","C2CP - Wp IL4 Signaling Pathway"
"2600","C2CP - Wp IL5 Signaling Pathway"
"2601","C2CP - Wp IL6 Signaling Pathway"
"2602","C2CP - Wp IL7 Signaling Pathway"
"2603","C2CP - Wp IL9 Signaling Pathway"
"2604","C2CP - Wp Imatinib and Chronic Myeloid Leukemia"
"2605","C2CP - Wp Immune Response to Tuberculosis"
"2606","C2CP - Wp Inclusion Body Myositis"
"2607","C2CP - Wp Inflammatory Response Pathway"
"2608","C2CP - Wp Influence of Laminopathies on Wnt Signaling"
"2609","C2CP - Wp Inhibition of Exosome Biogenesis and Secretion by Manumycin A in Crpc Cells"
"2610","C2CP - Wp Initiation of Transcription and Translation Elongation at the Hiv1 Ltr"
"2611","C2CP - Wp Insulin Signaling"
"2612","C2CP - Wp Insulin Signaling in Adipocytes Diabetic Condition"
"2613","C2CP - Wp Insulin Signaling in Adipocytes Normal Condition"
"2614","C2CP - Wp Integrated Cancer Pathway"
"2615","C2CP - Wp Integrinmediated Cell Adhesion"
"2616","C2CP - Wp Interactions Between Immune Cells and MicroRNAs in Tumor Microenvironment"
"2617","C2CP - Wp Interactions Between Loxl4 and Oxidative Stress Pathway"
"2618","C2CP - Wp Interactions of Natural Killer Cells in Pancreatic Cancer"
"2619","C2CP - Wp Interactome of Polycomb Repressive Complex 2 PRC2"
"2620","C2CP - Wp Interferon Type I Signaling Pathways"
"2621","C2CP - Wp Interleukin1 IL1 Structural Pathway"
"2622","C2CP - Wp Interleukin1 Induced Activation of NFkB"
"2623","C2CP - Wp Interleukin11 Signaling Pathway"
"2624","C2CP - Wp Intracellular Trafficking Proteins Involved in Cmt Neuropathy"
"2625","C2CP - Wp Intraflagellar Transport Proteins Binding to Dynein"
"2626","C2CP - Wp Irinotecan Pathway"
"2627","C2CP - Wp Iron Metabolism in Placenta"
"2628","C2CP - Wp Joubert Syndrome"
"2629","C2CP - Wp Kallmann Syndrome"
"2630","C2CP - Wp Kennedy Pathway from Sphingolipids"
"2631","C2CP - Wp Ketogenesis and Ketolysis"
"2632","C2CP - Wp Ketone Bodies Synthesis and Degradation"
"2633","C2CP - Wp Kininkallikrein Pathway"
"2634","C2CP - Wp Kisspeptinkisspeptin Receptor System in the Ovary"
"2635","C2CP - Wp Kit Receptor Signaling Pathway"
"2636","C2CP - Wp Krebs Cycle Disorders"
"2637","C2CP - Wp Kynurenine Pathway and Links to Cell Senescence"
"2638","C2CP - Wp Ldlrad4 and What We Know About It"
"2639","C2CP - Wp Leptin and Adiponectin"
"2640","C2CP - Wp Leptin Signaling Pathway"
"2641","C2CP - Wp Leptininsulin Signaling Overlap"
"2642","C2CP - Wp Let7 Inhibition of Es Cell Reprogramming"
"2643","C2CP - Wp Leukocyteintrinsic Hippo Pathway Functions"
"2644","C2CP - Wp Linoleic Acid Metabolism Affected by Coronavirus Infection"
"2645","C2CP - Wp Lipid Metabolism Pathway"
"2646","C2CP - Wp Lipid Particles Composition"
"2647","C2CP - Wp Liver X Receptor Pathway"
"2648","C2CP - Wp LncRNA in Canonical Wnt Signaling and Colorectal Cancer"
"2649","C2CP - Wp LncRNAmediated Mechanisms of Therapeutic Resistance"
"2650","C2CP - Wp Ltf Danger Signal Response Pathway"
"2651","C2CP - Wp Lung Fibrosis"
"2652","C2CP - Wp Macrophage Markers"
"2653","C2CP - Wp Major Receptors Targeted by Epinephrine and Norepinephrine"
"2654","C2CP - Wp Male Infertility"
"2655","C2CP - Wp Malignant Pleural Mesothelioma"
"2656","C2CP - Wp Mammalian Disorder of Sexual Development"
"2657","C2CP - Wp Mammary Gland Development Pathway Embryonic Development Stage 1 of 4"
"2658","C2CP - Wp Mammary Gland Development Pathway Involution Stage 4 of 4"
"2659","C2CP - Wp Mammary Gland Development Pathway Pregnancy and Lactation Stage 3 of 4"
"2660","C2CP - Wp Mammary Gland Development Pathway Puberty Stage 2 of 4"
"2661","C2CP - Wp Map3k1 Role in Promoting and Blocking Gonadal Determination"
"2662","C2CP - Wp MAPK and NFkB Signaling Pathways Inhibited by Yersinia Yopj"
"2663","C2CP - Wp MAPK Cascade"
"2664","C2CP - Wp MAPK Pathway in Congenital Thyroid Cancer"
"2665","C2CP - Wp MAPK Signaling Pathway"
"2666","C2CP - Wp Matrix Metalloproteinases"
"2667","C2CP - Wp Mbdnf and Probdnf Regulation of Gaba Neurotransmission"
"2668","C2CP - Wp Measles Virus Infection"
"2669","C2CP - Wp Mechanoregulation and Pathology of Yaptaz via Hippo and Nonhippo Mechanisms"
"2670","C2CP - Wp Mecp2 and Associated Rett Syndrome"
"2671","C2CP - Wp Med and Pseudoachondroplasia Genes"
"2672","C2CP - Wp Melanoma"
"2673","C2CP - Wp Melatonin Metabolism and Effects"
"2674","C2CP - Wp Mesodermal Commitment Pathway"
"2675","C2CP - Wp Met in Type 1 Papillary Renal Cell Carcinoma"
"2676","C2CP - Wp Metabolic Pathway of Ldl Hdl and Tg Including Diseases"
"2677","C2CP - Wp Metabolic Reprogramming in Colon Cancer"
"2678","C2CP - Wp Metabolism of Alphalinolenic Acid"
"2679","C2CP - Wp Metabolism of Spingolipids in Er and Golgi Apparatus"
"2680","C2CP - Wp Metapathway Biotransformation Phase I and II"
"2681","C2CP - Wp Metastatic Brain Tumor"
"2682","C2CP - Wp Methionine De Novo and Salvage Pathway"
"2683","C2CP - Wp Methionine Metabolism Leading to Sulfur Amino Acids and Related Disorders"
"2684","C2CP - Wp Methylation Pathways"
"2685","C2CP - Wp Mevalonate Arm of Cholesterol Biosynthesis Pathway"
"2686","C2CP - Wp Mevalonate Pathway"
"2687","C2CP - Wp Mfap5 Effect on Permeability and Motility of Endothelial Cells via Cytoskeleton Rearrangement"
"2688","C2CP - Wp Mfap5mediated Ovarian Cancer Cell Motility and Invasiveness"
"2689","C2CP - Wp Microglia Pathogen Phagocytosis Pathway"
"2690","C2CP - Wp MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma"
"2691","C2CP - Wp MicroRNA Network Associated with Chronic Lymphocytic Leukemia"
"2692","C2CP - Wp MicroRNAs in Cardiomyocyte Hypertrophy"
"2693","C2CP - Wp Microtubule Cytoskeleton Regulation"
"2694","C2CP - Wp Mir124 Predicted Interactions with Cell Cycle and Differentiation"
"2695","C2CP - Wp Mir222 in Exerciseinduced Cardiac Growth"
"2696","C2CP - Wp Mir5093p Alteration of Yap1ecm Axis"
"2697","C2CP - Wp Mir517 Relationship with Arcn1 and Usp1"
"2698","C2CP - Wp MiRNA Biogenesis"
"2699","C2CP - Wp MiRNA Regulation of DNA Damage Response"
"2700","C2CP - Wp MiRNA Regulation of P53 Pathway in Prostate Cancer"
"2701","C2CP - Wp MiRNA Regulation of Prostate Cancer Signaling Pathways"
"2702","C2CP - Wp MiRNA Targets in ECM and Membrane Receptors"
"2703","C2CP - Wp MiRNAs Involved in DNA Damage Response"
"2704","C2CP - Wp MiRNAs Involvement in the Immune Response in Sepsis"
"2705","C2CP - Wp Mitochondrial Complex I Assembly Model Oxphos System"
"2706","C2CP - Wp Mitochondrial Complex II Assembly"
"2707","C2CP - Wp Mitochondrial Complex III Assembly"
"2708","C2CP - Wp Mitochondrial Complex Iv Assembly"
"2709","C2CP - Wp Mitochondrial Fatty Acid Synthesis Pathway"
"2710","C2CP - Wp Mitochondrial Gene Expression"
"2711","C2CP - Wp Mitochondrial Immune Response to Sarscov2"
"2712","C2CP - Wp Mitochondrial Long Chain Fatty Acid Betaoxidation"
"2713","C2CP - Wp Modulators of TCR Signaling and T Cell Activation"
"2714","C2CP - Wp Molybdenum Cofactor Moco Biosynthesis"
"2715","C2CP - Wp Monoamine Gpcrs"
"2716","C2CP - Wp Monoamine Transport"
"2717","C2CP - Wp MRNA Processing"
"2718","C2CP - Wp MRNA Protein and Metabolite Inducation Pathway by Cyclosporin A"
"2719","C2CP - Wp Mthfr Deficiency"
"2720","C2CP - Wp Myd88 Distinct Inputoutput Pathway"
"2721","C2CP - Wp Myometrial Relaxation and Contraction Pathways"
"2722","C2CP - Wp Nad Biosynthesis II from Tryptophan"
"2723","C2CP - Wp Nad Biosynthetic Pathways"
"2724","C2CP - Wp Nad Metabolism"
"2725","C2CP - Wp Nad Metabolism in Oncogeneinduced Senescence and Mitochondrial Dysfunctionassociated Senescence"
"2726","C2CP - Wp Nad Metabolism Sirtuins and Aging"
"2727","C2CP - Wp Nanomaterial Induced Apoptosis"
"2728","C2CP - Wp Nanomaterialinduced Inflammasome Activation"
"2729","C2CP - Wp Nanoparticle Triggered Autophagic Cell Death"
"2730","C2CP - Wp Nanoparticle Triggered Regulated Necrosis"
"2731","C2CP - Wp Nanoparticlemediated Activation of Receptor Signaling"
"2732","C2CP - Wp NcRNAs Involved in STAT3 Signaling in Hepatocellular Carcinoma"
"2733","C2CP - Wp NcRNAs Involved in Wnt Signaling in Hepatocellular Carcinoma"
"2734","C2CP - Wp Neovascularisation Processes"
"2735","C2CP - Wp Nephrogenesis"
